OP Uniek Nr Id ,LNO Uniek Nr ,PAP Id,PAP Omschrijving,PAP ACT Code,PAP ACT Omschrijving,PAP PLA Code,PAP PLA Omschrijving,PAP PRD Code,PAP PRD Omschrijving,TYP ERK Erkenning code,TYP ERK omschrijving,TYP ERK Erkenning vorm Omschrijving,TYP ERK Erkenning Vorm Code,PC Postcode ,GEM Naam ,PR Naam ,ERK Nummer ,ERK Begindatum ,Datum vandaag
2310534060,757577225,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9506.0,Geraardsbergen,Oost-Vlaanderen,,2023/02/01 00:00:00,2026/08/24 04:13:33
9005256629,5256628,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9630.0,Sint-Maria-Latem,Oost-Vlaanderen,,2020/03/23 00:00:00,2026/08/24 04:13:33
9005519594,5519593,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,4760.0,Büllingen/Bullange,Luik,,2023/06/01 00:00:00,2026/08/24 04:13:33
9005283463,5283462,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9881.0,Bellem,Oost-Vlaanderen,,2020/08/01 00:00:00,2026/08/24 04:13:33
9005282391,5282390,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,7543.0,Mourcourt,Henegouwen,,2020/06/01 00:00:00,2026/08/24 04:13:33
9005551534,5551533,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,6666.0,Wibrin,Luxemburg,,2023/07/28 00:00:00,2026/08/24 04:13:33
9004826757,4826756,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,9870.0,Zulte,Oost-Vlaanderen,,2015/01/01 00:00:00,2026/08/24 04:13:33
9005238879,5238878,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,2250.0,Olen,Antwerpen,,2020/01/02 00:00:00,2026/08/24 04:13:33
2265453608,479681727,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,1380.0,Lasne,Waals Brabant,,2023/09/19 00:00:00,2026/08/24 04:13:33
9003689530,3689529,684,Imker - houden bijen,AC28,Houden,PL4,Imker,PR1,Bijen,,,,,5060.0,Arsimont,Namen,,2007/01/15 00:00:00,2026/08/24 04:13:33
